experiment_id,log_file,loss,accuracy,training_time,energy_computation,energy_communication,total_energy,num_communications
27,Experiment_03-03-2025-12-41-09,0.00015362852811813353,0.9558,234.17948369000004,23.417948700000004,20709.026881250007,20732.444829950007,12500
27,Experiment_03-03-2025-12-44-04,0.00015543488562107087,0.9539,294.58303232,29.45830359000001,20709.026881250007,20738.485184840007,12500
27,Experiment_03-03-2025-12-57-34,0.00013286929205060004,0.9606,294.00659249999995,29.400659625000007,20522.778561250012,20552.179220875012,12500
28,Experiment_03-03-2025-13-01-32,0.0004742520272731781,0.8488,498.32910029999994,49.83291075000001,20709.026881250007,20758.859792000007,12500
28,Experiment_03-03-2025-13-03-22,7.751320749521256e-05,0.977,588.0131849999999,58.801319250000006,20522.778561250012,20581.579880500012,12500
28,Experiment_03-03-2025-13-02-20,9.653578773140907e-05,0.9706,630.3608034649999,63.03608110500001,20709.026881250007,20772.06296235501,12500
29,Experiment_04-03-2025-18-19-17,6.974832117557525e-05,0.9784,1280.58271642,128.05827319500003,20709.026881250007,20837.08515444501,12500
29,Experiment_04-03-2025-18-20-18,0.00011246661022305488,0.9622,1176.0263699999998,117.60263850000003,20522.778561250012,20640.381199750012,12500
29,Experiment_04-03-2025-18-18-30,8.59291948378086e-05,0.9736,1031.8371999600001,103.18372147499997,20709.026881250007,20812.21060272501,12500
30,Experiment_04-03-2025-18-26-48,9.372466877102852e-05,0.9703,589.1660646399998,58.91660718000002,41231.80544250006,41290.72204968006,25000
30,Experiment_04-03-2025-18-26-12,9.109723791480064e-05,0.9728,468.3589673800001,46.83589740000001,41231.80544250006,41278.64133990006,25000
30,Experiment_04-03-2025-18-27-52,0.00039304207563400266,0.8687,583.5533879899999,58.35533955000001,40553.01043703004,40611.36577658004,24700
31,Experiment_04-03-2025-23-21-16,0.0002431498184800148,0.9297,147.00329624999998,14.700329812500001,10261.389280625006,10276.089610437506,6250
31,Experiment_04-03-2025-23-19-40,0.00025983492732048035,0.9268,117.08974184500002,11.708974350000002,10447.63760062501,10459.34657497501,6250
31,Experiment_04-03-2025-23-20-07,0.00023891730308532716,0.9348,147.29151616,14.729151795000007,10447.63760062501,10462.36675242001,6250
32,Experiment_06-03-2025-01-09-10,0.0001485803261399269,0.9555,294.00659249999995,29.400659625000007,10261.389280625006,10290.789940250006,6250
32,Experiment_06-03-2025-01-08-07,0.00016443608999252318,0.9531,315.1804017325,31.518040552500015,10447.63760062501,10479.155641177511,6250
32,Experiment_06-03-2025-01-07-36,0.0001633685365319252,0.9523,249.16455014999997,24.916455375,10447.63760062501,10472.55405600001,6250
33,Experiment_06-03-2025-01-14-10,0.00014196881502866746,0.9592,640.29135821,64.02913659750001,10447.63760062501,10511.666737222511,6250
33,Experiment_06-03-2025-01-15-12,0.00017524750977754593,0.9438,588.0131849999999,58.80131925000001,10261.389280625006,10320.190599875006,6250
33,Experiment_06-03-2025-01-13-31,0.00013808994665741921,0.9593,515.9185999799998,51.591860737499985,10447.63760062501,10499.22946136251,6250
34,Experiment_06-03-2025-01-45-04,7.006794661283493e-05,0.9771,1260.7216069300002,126.07216220999999,41231.80544250006,41357.87760471006,25000
34,Experiment_06-03-2025-01-44-25,5.2106327190995216e-05,0.9833,996.6582005999998,99.66582150000002,41231.80544250006,41331.47126400006,25000
34,Experiment_06-03-2025-01-46-11,4.8624610528349875e-05,0.9846,1176.0263699999998,117.60263850000001,41045.55712250004,41163.15976100004,25000
35,Experiment_06-03-2025-01-58-37,4.9750162288546564e-05,0.9841,2561.16543284,256.11654639000005,41231.80544250006,41487.92198889006,25000
35,Experiment_06-03-2025-01-56-36,4.822001084685326e-05,0.9839,2063.6743999199994,206.36744294999994,41231.80544250006,41438.17288545006,25000
35,Experiment_06-03-2025-02-00-23,4.2879532650113104e-05,0.9847,2352.0527399999996,235.20527700000005,41045.55712250004,41280.76239950004,25000
